Processor_type,RAM_GB,RAM_type,Disk_Type,Disk_size,OS,Display_inches
Intel,8 ,DDR4,SSD,256,Windows 11 Operating System,14
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 10 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,256,Windows 11 Operating System,14
Intel,8 ,DDR4,HDD,1024,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,256,Windows 10 Operating System,14
AMD Ryzen,16,DDR4,SSD,512,Windows 11 Operating System,14
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,256,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,17.3
Intel,8 ,DDR4,SSD,256,Windows 11 Operating System,15.6
AMD Ryzen,16,DDR5,SSD,1024,Windows 11 Operating System,15.6
Intel,8 ,DDR4,HDD,1024,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,16,DDR4,SSD,1024,Windows 11 Operating System,15.6
Apple,8 ,DDR4,SSD,256,Mac OS Operating System,13.3
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,14
Intel,4 ,LPDDR4,HDD,256,DOS Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,16,DDR5,SSD,1024,Windows 11 Operating System,15.6
Intel,16,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,256,Windows 10 Operating System,14
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,16,DDR4,SSD,1024,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,256,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,17.3
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
AMD Ryzen,16,DDR4,SSD,1024,Windows 11 Operating System,15.6
Intel,8 ,DDR4,SSD,512,Windows 11 Operating System,15.6
Intel,16,DDR4,SSD,512,Windows 11 Operating System,14
Intel,8 ,DDR4,SSD,256,Windows 11 Operating System,14
